Participant;World;TrialName;Task;Duration;Milliseconds;Errors;Baseline;APCPS;MPD;MPDC;SD;PeakDilation;Latencytopeak;Changeposition;Attempts;ChangepositionAttemps;Errorschangeposition;ErrorsAttemps;Totalerrors;Participant_A;World_A;TrialName_A;TrialNumber_A;Duration_A;Milliseconds_A;Errors_A;Baseline_A;APCPS_A;MPD_A;MPDC_A;SD_A;PeakDilation_A;Latencytopeak_A;Changeposition_A;Attempts_A;ChangepositionAttemps_A;Errorschangeposition_A;ErrorsAttemps_A;Totalerrors_A
1;2;2_5;25;00:00:45;44785;0;30,7896;,0409;32,049;1,2594;1,165;3,58;18;0;0;0;0;0;0;1;4;4_2;42;00:01:21;80732;1;28,6972;,102;31,6231;2,9259;1,5489;6,0057;65;2;0;2;3;1;3
3;2;2_4;24;00:01:53;112464;1;18,1298;,0524;19,0801;,9503;1,4373;3,9396;65;0;0;0;1;1;1;1;4;4_6;46;00:00:50;49982;0;29,6913;,0804;32,0791;2,3878;1,3852;4,9936;33;0;2;2;0;2;2
6;2;2_4;24;00:00:40;39458;0;27,0984;,0869;29,4543;2,3559;1,0476;4,6211;10;0;0;0;0;0;0;4;4;4_2;42;00:01:07;66960;0;16,397;,1384;18,6659;2,2689;,8128;4,0133;9;0;0;0;0;0;0
6;2;2_5;25;00:00:46;45055;0;29,3381;,0288;30,1824;,8443;,6773;2,2573;16;0;0;0;0;0;0;4;4;4_4;44;00:01:07;66404;0;17,6066;,0747;18,9225;1,3159;,8638;3,0021;38;1;0;1;1;0;1
7;2;2_4;24;00:02:28;147727;7;25,5965;,0839;27,745;2,1485;1,2645;5,1933;131;1;2;3;8;9;10;5;4;4_2;42;00:00:48;47576;0;19,3233;,2241;23,6532;4,3299;1,0139;6,9429;14;0;0;0;0;0;0
7;2;2_5;25;00:00:23;22825;0;27,5585;,0029;27,639;,0805;1,1892;1,4967;1;0;0;0;0;0;0;5;4;4_4;44;00:03:25;204766;5;21,6351;,1491;24,8603;3,2252;1,0105;5,764;151;5;9;14;10;14;19
8;2;2_4;24;00:01:47;106656;4;19,1137;,0789;20,6213;1,5076;,9866;3,9034;70;4;2;6;8;6;10;6;4;4_2;42;00:00:55;54991;0;26,5563;,1134;29,5665;3,0102;1,1218;5,8991;28;0;0;0;0;0;0
9;2;2_4;24;00:00:36;35397;0;23,5228;,0344;24,3316;,8088;,9237;2,4639;2;0;0;0;0;0;0;6;4;4_6;46;00:01:04;63600;0;26,8314;,136;30,4814;3,65;,9193;5,3706;5;0;0;0;0;0;0
9;2;2_5;25;00:00:32;31082;0;20,5479;,1786;24,2184;3,6705;1,6532;6,8471;13;0;0;0;0;0;0;7;4;4_2;42;00:01:58;117375;2;24,435;,0657;26,0412;1,6062;,7782;3,5325;36;2;2;4;4;4;6
10;2;2_4;24;4.8596064814814812E-4;41987;1;18,3643;,197;21,9812;3,6169;1,0187;5,3285;18;0;0;0;1;1;1;7;4;4_6;46;00:01:35;94117;0;26,1467;,099;28,7355;2,5888;1,1392;5,0655;80;6;0;6;6;0;6
